,Base,Inu,AssP,Ass
f__Pasteurellaceae,0,0,0.002520019,0
f__Saprospiraceae,0,0.00170249,0,0
f__Unknown_Family,0,0.000425622,0.000306171,0
f__Staphylococcaceae,0.000497512,0.001489679,0.004192181,0.001731852
f__Nitrosomonadaceae,0.02039801,0,0.001224682,0.009525184
f__Frankiaceae,0.00199005,0,2.36E-05,0.003319382
f__Anaerolineaceae,0,0,0.000164861,0
f__Xanthomonadales_Incertae_Sedis,0.001492537,0.000532028,0.000329722,0.003896666
f__Promicromonosporaceae,0,0.000106406,0.001177579,0
f__Carnobacteriaceae,0,0.000638434,0.000400377,0
f__Kineosporiaceae,0.000995025,0,7.07E-05,0.000865926
f__Phytophthora_lateralis_MPF4,0,0,0.000188413,0
f__Legionellaceae,0.005472637,0.005320281,0,0
f__Helicobacteraceae,0,0,0.016603862,0
f__Acetobacteraceae,0.006467662,0.001064056,0.003085257,0.005195555
f__Spirochaetaceae,0,0.000212811,7.07E-05,0
f__Hyphomicrobiaceae,0.010447761,0.00170249,0.00939708,0.00303074
f__Alcaligenaceae,0,0.000425622,0.001365992,0.001731852
f__Ferrimonadaceae,0,0,0,0.000721605
f__Streptosporangiaceae,0,0,0.000259067,0.000144321
f__Dermabacteraceae,0,0.000532028,0.009938766,0
f__Verrucomicrobiaceae,0,0.000851245,0,0
f__Caulobacteraceae,0.00199005,0.015109598,0.020560527,0.002020494
f__Nevskiaceae,0.000497512,0,0.000188413,0
f__Thermoactinomycetaceae,0,0,0.044889307,0.010824073
f__Cellvibrionaceae,0,0.001276867,0.000376825,0
f__Chloroflexaceae,0,0,0.000259067,0
f__KF-JG30-B3,0.00199005,0,4.71E-05,0.001010247
f__Rhodospirillales_Incertae_Sedis,0.007960199,0.000212811,0.000164861,0.002164815
f__Micromonosporaceae,0.001492537,0.002128112,0.001154027,0.002020494
f__Family_X,0,0,0.000329722,0
f__Rhodobiaceae,0,0,2.36E-05,0.001010247
f__Leuconostocaceae,0,0.005001064,0.000141309,0.013999135
f__Streptomycetaceae,0.000497512,0,0.002661328,0.001154568
f__Intrasporangiaceae,0,0,0.000376825,0.000144321
f__Xanthomonadaceae,0.02039801,0.024260481,0.04597268,0.007793333
f__Micrococcaceae,0.117412936,0.003617791,0.011281206,0.269302941
f__Bogoriellaceae,0,0,0.00313236,0
f__Cryomorphaceae,0,0.001489679,0,0
f__FamilyI,0,0,0.001931229,0.000144321
f__Rhodobacteraceae,0.009452736,0.021068312,0.024093264,0
f__Archangiaceae,0,0,0,0.00144321
f__Rhizobiaceae,0,0.011704618,0.000777202,0.000721605
f__FFCH16767,0,0,0.000235516,0
f__Clostridiaceae_1,0,0,0.000989166,0.024101603
f__Deinococcaceae,0,0.003617791,0.000306171,0
f__Porphyromonadaceae,0,0,0.000612341,0
f__Aerococcaceae,0,0,0.007089025,0
f__Bromus_tectorum,0,0,7.07E-05,0
f__Fusobacteriaceae,0,0,0.001106924,0
f__JG37-AG-20,0.000995025,0,4.71E-05,0.001587531
f__Polyangiaceae,0,0,0.000188413,0.000577284
f__HSB_OF53-F07,0.000497512,0,0,0.001010247
f__Enterobacteriaceae,0.004975122,0.000851246,0.017545929,0.103189457
